nus,dim_scales
8.476413404039072e-05,-5.247961882541604
7.076510175612118e-05,-5.323170204568464
9.758808600753017e-05,-5.392298784923533
7.09466062081456e-05,-5.317924379409044
0.00010337014811911255,-5.387526240046286
8.471205905332396e-05,-5.365462733896856
7.755846088857143e-05,-5.375154446486029
6.56636470813701e-05,-5.400504652335637
6.080521004937937e-05,-5.440929593399666
5.3984861980844304e-05,-5.453435263006164
7.582464540597146e-05,-5.4318323323335065
5.531930928172411e-05,-5.426898393526838
5.222434902367947e-05,-5.405433154544018
4.954901918624595e-05,-5.4194682469849385
5.400367142065992e-05,-5.384279354901903
6.66303748619145e-05,-5.420082207784983
0.1626176501444171,-0.6697359730316469
6.362990000208323e-05,-5.470759096781193
4.272286675544038e-05,-5.4290429274666865
4.975840191598737e-05,-5.445461301873861
6.227126097365358e-05,-5.490503662723469
4.005155698715562e-05,-5.4900817299776214
5.8393112522801266e-05,-5.491386361733954
5.0377683550869026e-05,-5.480051545575485
4.71430803960607e-05,-5.490830166457983
