0,1,2,3,4,5,6,7,8,9
-0.00035788849241126926,-7.98829675220205e-05,-1.939574446531474e-05,4.5772640472722e-05,1.4338065249045805e-05,2.364612441177856e-05,4.7212380280715576e-05,3.372404546963677e-05,3.155780909508889e-05,1.7222583429001107e-05
-0.0003851017656686182,-0.00010113316563973616,2.577935203801118e-05,3.907420563778515e-05,7.615924897222477e-06,1.9478360045905713e-05,9.153461498167802e-05,3.71649552311764e-05,4.315657628988078e-05,2.6441857589418712e-06
-0.0004111806191603633,-0.00012133439023207293,5.6450128101914164e-05,6.706757997081696e-06,-1.581976765213168e-05,-1.6410357282153536e-05,0.00013527116229674631,3.7078648436201164e-05,6.165987013067133e-05,-1.4130784157861386e-05
-0.00043602986828732295,-0.00013962643923219964,3.936218336261519e-05,7.712223335889741e-06,-2.241086304379192e-05,-9.582511212305026e-06,0.00016531001907025433,2.030262183641468e-05,9.075944212168e-05,-1.1947767941583955e-05
-0.0004596771313839599,-0.0001527868899594185,3.733474314111396e-05,2.046124110326335e-05,-1.3356430269361967e-06,2.4954964557686925e-05,0.00017175633816296764,2.7854056104550454e-06,0.00013400582013765142,9.34355139062665e-06
-0.0004822668649982019,-0.00015582668833428927,1.8525292672773372e-05,1.3116332398680706e-05,2.4594305788223554e-06,5.4344708861658675e-05,0.00015070747169462537,1.6737483441036178e-05,0.00019370536677015167,2.8583318246282955e-05
-0.0005040420687323024,-0.00014635784849704474,-8.317277694287104e-06,6.269537625776861e-07,6.837098311236837e-06,7.48078651800839e-05,0.0001040453186404451,2.0874727457173605e-05,0.00026995827477348125,3.73924211687172e-05
-0.000525314720965141,-0.00012939545550452934,-9.346570635951269e-06,-2.5961468347806126e-05,2.1138817526982403e-05,7.838541819901351e-05,3.813599503945151e-05,1.091310524176045e-05,0.0003602724539833789,5.3948910201077506e-05
-0.000546427283439622,-0.00011690515562457198,9.02248528586743e-06,-6.644806770235289e-05,1.2395099785999878e-05,7.110168189461815e-05,-3.7330437059831784e-05,3.4974679059284844e-05,0.0004599491068137617,9.825442242088822e-05
-0.0005677086850771441,-0.00011998308405742585,3.306061662508719e-05,-7.874641161667483e-05,1.8832169675752783e-05,5.234875821930581e-05,-0.00011101182454901381,0.00010073896597060484,0.0005630309517664015,0.0001643920912756591
-0.000589428924488231,-0.0001394245871255898,4.385653990879618e-05,-4.070589649673175e-05,4.472261833387814e-05,6.038475352569868e-06,-0.00017290290272247802,0.00013834993383814729,0.0006633003759573325,0.00022201200013247398
-0.0006117567187790958,-0.00016415026364418627,2.4598231648245247e-05,6.265832363911116e-06,4.2102687493631886e-05,-2.0774449841073647e-05,-0.00021764178204941478,0.00011334183100522286,0.0007548525748537893,0.0002585831277877778
-0.0006347244314598503,-0.00018027399158568035,9.169025088901005e-06,5.779130870668812e-05,2.876338942362386e-05,-1.890955372297526e-05,-0.0002457522917407584,5.277286800065187e-05,0.0008321384100218504,0.0002875952513655396
-0.0006582038545966156,-0.0001827261331052496,1.1308177796747022e-05,0.00013124959979515547,4.3392098628616986e-05,1.4229722410000171e-05,-0.00026146977010945517,-1.61676045257565e-05,0.0008897949917861394,0.00029964513344205756
-0.0006818953788711896,-0.00017908591498836716,-5.535484443612963e-06,0.00014535602011432405,4.499699253207801e-05,8.54618575942463e-05,-0.00026861156620720784,-1.7181650138608533e-06,0.0009227458115784008,0.0002704985926566108
-0.0007053317862489595,-0.00018389369476291503,-2.9500894639806585e-05,0.00012878526640169795,-3.1992788379352466e-06,8.781863626419124e-05,-0.0002677775461590604,8.700081595503046e-05,0.0009268658423184187,0.00020168460695716908
-0.0007278964986623553,-0.00020994456346000654,-5.267671626518232e-07,0.00010556720343897033,-3.7607291990530896e-05,6.077461804733368e-05,-0.00025682155432454895,9.927082883312095e-05,0.000900128429477385,0.00010466068853722235
-0.0007488547743554541,-0.00026240681836017023,1.9274342796443377e-05,9.033150187152052e-05,-2.3685070917005498e-05,4.4773478468041256e-05,-0.0002332363666182655,3.1535580471295876e-05,0.000843805770365784,-6.3780943075058055e-06
-0.0007673952076913103,-0.000336576113050042,7.508353320175856e-06,8.420405144809078e-05,-2.662502429819396e-05,5.041023140541718e-06,-0.00019583221455630206,-5.4476415750024365e-05,0.0007631292230870623,-8.94510202696236e-05
-0.0007826780704294942,-0.00041863867590499906,-4.819907552996151e-06,5.1452429295284645e-05,-6.160609316611642e-05,-1.5084240817814363e-05,-0.00014561937405732774,-9.329700104263546e-05,0.0006669024510960418,-0.00010772456246355113
-0.0007938865980062551,-0.0004902836589139267,-5.0022216417704275e-06,5.46219862640677e-06,-2.5886795048145438e-05,3.3845107091252962e-06,-8.817040024606375e-05,-8.097446336487264e-05,0.0005659284580881616,-7.815547750453981e-05
-0.0008002772867551467,-0.0005361929690697555,-2.5177583537699227e-05,1.511788383124031e-05,5.63137010464249e-05,-3.595778281843279e-05,-3.717780701659625e-05,-8.584788022138831e-05,0.00047066834800593927,-4.416359346842125e-05
-0.0008012255922784335,-0.0005490416074228189,-3.899371830452398e-05,0.00010239273745648217,0.00013059694859550338,-0.00014069569936839534,-1.4029930096055933e-05,-0.00011349541340530621,0.0003890109561908918,-3.449281736604935e-05
-0.0007962640317072118,-0.0005281204074790053,-4.728433417092447e-05,0.00014689548626384773,0.0001971889630049964,-0.0002222465977273629,-3.9026669446487105e-05,-7.443627357496354e-05,0.00032505892865849627,-5.30415435535441e-05
-0.0007851104957767163,-0.0004758037953457993,-5.587887278264491e-05,0.0001191708866458171,0.00015741110762058764,-0.00017555395976729822,-0.00011805127727488106,-5.8612524713508693e-05,0.0002793287895500495,-8.659051071645053e-05
-0.0007676854653605846,-0.00039846186811719024,-1.6345584794996956e-05,9.913310590691529e-05,3.6698294747351695e-05,-6.031233982934427e-05,-0.00023509915438000025,-8.763022208150996e-05,0.0002500131217166734,-0.00012141229996038808
-0.0007441177040721404,-0.0003097091264856589,2.2000012329534315e-05,8.436464423275825e-05,-3.483638483943969e-05,3.219234792842188e-05,-0.00035750917441771394,-1.9631444128692762e-05,0.0002344580407984619,-0.00013381607568109047
-0.0007147387862256891,-0.00022773547802591474,1.7651191439117367e-05,3.496457355409764e-05,-3.999475064400231e-05,4.0770644142350025e-05,-0.0004504886773615415,5.757564982104113e-05,0.00023008245835728507,-9.840199851996945e-05
-0.0006800674669348288,-0.00016567266604601905,1.2040409688846158e-05,1.687216952935173e-05,-3.804926256998265e-05,3.516819215426135e-05,-0.0004913937490376182,7.334261311651169e-05,0.0002345010102855439,-1.9140841558430364e-05
-0.0006407853853926602,-0.00012397633769719153,1.8291349919522953e-07,3.6951704132395815e-05,-4.5233631617277407e-05,3.637008235112056e-06,-0.00047675260476153256,2.7574109695137238e-05,0.00024518768961113535,6.517065920192048e-05
-0.0005977059146569449,-9.235424680609722e-05,5.551441139519856e-06,2.99903607695359e-05,-4.245680029401596e-05,-1.670426162764753e-05,-0.00042083474847710416,-4.136717603490587e-06,0.00025923294914432604,0.00010535233184718834
-0.0005517381498426605,-5.897713372263472e-05,9.52023551283877e-06,4.4094865246949326e-05,-4.7342601105032843e-05,-2.425476112004582e-06,-0.0003477292659359714,9.289094862860767e-06,0.0002735192788294023,8.556923615762174e-05
-0.0005038480881324533,-1.886084729337655e-05,-7.138533698985209e-06,7.419273474754622e-05,-7.467105549908823e-05,3.657489795809344e-05,-0.00027983761021595324,2.029445765563844e-05,0.0002852245924320468,2.8227414063826066e-05
-0.00045501902517182873,2.4377511028069776e-05,-1.6276798214492518e-05,8.199477419959041e-05,-7.44091953615573e-05,6.0495100390590625e-05,-0.00022717143304663793,-9.092858649485518e-06,0.00029231283605604875,-3.896854928134093e-05
-0.0004062130939602536,6.325457602561152e-05,-2.3604455727093825e-06,8.029231353774236e-05,-8.600261027341776e-05,5.0306449764430874e-05,-0.00018292198036456278,-1.7492999935246154e-05,0.0002937438958354123,-9.292011129466757e-05
-0.00035833571616471964,9.30877619208232e-05,9.083790635503345e-06,4.670725562572928e-05,-9.152537752183193e-05,2.769519752314998e-05,-0.00012842114526428824,-1.854207511454223e-05,0.0002893908487130965,-0.00012195868745885286
-0.0003122045254144545,0.00011527932235202869,1.8308711073320974e-05,-1.452532389688211e-05,-5.034141823405103e-05,1.4012971247687286e-05,-4.5146338874051695e-05,-2.2429810836027334e-05,0.00027982502745715535,-0.00013516314442666043
-0.00026852405611248745,0.00013479869182610649,1.572668388639974e-05,-2.4517966051604285e-05,-3.5699066361293195e-05,-1.229781280530586e-05,7.308344612657891e-05,-2.4433959209477517e-05,0.00026608905356321794,-0.00013888342221266993
-0.00022786716805649174,0.00015434698755696736,2.354241569871901e-05,-4.493079275219222e-05,-3.7103003856060735e-05,-3.694069401445855e-05,0.00021460935660450888,3.170696432201023e-06,0.0002494380450359958,-0.0001127872759653649
-0.00019066380008429524,0.0001708067150921793,3.516985682805999e-05,-0.00010219073212510152,-2.4153921482541975e-05,-4.5199140473326634e-05,0.00035376501067090413,5.8517379047229885e-05,0.0002309950853544525,-4.0436886939111894e-05
-0.00015719722713873892,0.00017734474965819933,-1.9258027278275224e-05,-0.00011491993568825164,-4.010283184307734e-05,-4.493520554365445e-05,0.0004612726318388045,9.341006587758727e-05,0.00021139795008942117,4.535720265478132e-05
-0.00012760755680803055,0.00016885485869572988,-0.00011014816202581879,-7.629760490853306e-05,-8.24116189873192e-05,-3.194010876828584e-05,0.0005154113013184767,8.426569353691954e-05,0.00019065383857175828,0.00010487259771546909
-0.00010190177459304156,0.0001456816155965487,-0.00013187024941380476,-5.2838254536033436e-05,-3.850546546813456e-05,-1.2151797197064883e-05,0.000508961232939162,5.3619085045479396e-05,0.00016837108528889534,0.00014294984237765327
-7.996926795285602e-05,0.00011322062795632857,-7.091077853665612e-05,-2.3051200811507017e-05,-1.222794177993639e-06,1.2308936330735173e-05,0.00045007073193948505,5.638442531656585e-05,0.00014429106397924798,0.00016026166129637118
-6.160146319741195e-05,7.88759864565335e-05,-4.6035987297372135e-05,-1.8989590904537544e-05,-2.1091439171570975e-07,2.3704821794955916e-05,0.0003580076658390695,5.093505995739887e-05,0.00011880291025915896,0.000135661189889832
